Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTASTAR,82,0,1720,0,3,6579
RRTASTAR,83,1,577,296,1,2308
RRTASTAR,84,1,1408,356,10,4996
RRTASTAR,85,0,1645,4,1,6287
RRTASTAR,86,1,228,311,4,953
RRTASTAR,87,1,318,307,5,1060
RRTASTAR,88,0,1314,0,1,4907
RRTASTAR,89,1,98,298,4,346
RRTASTAR,90,0,1936,0,3,6099
RRTASTAR,91,0,1607,0,3,5348
RRTASTAR,92,1,599,351,12,1274
RRTASTAR,93,1,116,324,9,320
RRTASTAR,94,1,333,365,21,865
RRTASTAR,95,1,239,318,10,724
RRTASTAR,96,1,263,322,10,768
RRTASTAR,97,0,2109,0,3,5710
RRTASTAR,98,1,715,324,2,2116
RRTASTAR,99,1,501,345,6,1426
RRTASTAR,100,1,61,318,11,153
RRTASTAR,101,1,313,401,17,834
RRTASTAR,102,1,184,323,10,452
RRTASTAR,103,1,179,303,4,524
RRTASTAR,104,0,2626,33,3,7304
RRTASTAR,105,1,129,345,18,360
RRTASTAR,106,0,2040,17,3,5119
RRTASTAR,107,1,180,318,8,488
RRTASTAR,108,1,75,349,14,209
RRTASTAR,109,0,2652,0,1,8009
RRTASTAR,110,1,242,296,1,700
RRTASTAR,111,1,406,296,1,826
RRTASTAR,112,0,1774,0,3,5261
RRTASTAR,113,0,2626,44,3,7513
RRTASTAR,114,1,201,431,19,643
RRTASTAR,115,1,233,296,1,748
RRTASTAR,116,0,1860,3,1,5098
RRTASTAR,117,1,429,346,10,1218
RRTASTAR,118,0,5068,0,1,15404
RRTASTAR,119,1,118,296,1,306
RRTASTAR,120,1,660,401,15,1678
RRTASTAR,121,0,2218,0,1,6581
RRTASTAR,122,0,1985,0,3,6055
RRTASTAR,123,0,1903,0,3,5381
RRTASTAR,124,1,158,347,15,448
RRTASTAR,125,1,264,352,14,700
RRTASTAR,126,0,2800,0,3,7955
RRTASTAR,127,0,1707,55,7,4660
RRTASTAR,128,0,2492,2,1,6604
RRTASTAR,129,1,222,326,12,685
RRTASTAR,130,1,519,296,1,1207
RRTASTAR,131,1,144,332,14,399
RRTASTAR,132,1,486,300,4,1340
RRTASTAR,133,0,1753,15,3,4802
RRTASTAR,134,1,287,369,12,908
RRTASTAR,135,0,1800,0,1,5297
RRTASTAR,136,0,1922,3,1,6550
RRTASTAR,137,0,1450,0,1,5436
RRTASTAR,138,1,161,376,18,576
RRTASTAR,139,1,176,305,4,667
RRTASTAR,140,1,191,298,4,809
RRTASTAR,141,0,1780,9,1,6430
RRTASTAR,142,0,1619,0,3,6106
RRTASTAR,143,0,1680,0,3,6590
RRTASTAR,144,0,1797,0,3,7080
RRTASTAR,145,1,193,319,6,692
RRTASTAR,146,0,2110,0,3,5915
RRTASTAR,147,0,2634,0,3,7145
RRTASTAR,148,1,426,356,11,1228
RRTASTAR,149,1,434,296,1,1208
